ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28159988 4 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 42.0255 213.981 0.803601 227.573 0.815332
28159988 5 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.9944 210.987 0.800962 224.398 0.812858
28159988 6 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.979 209.062 0.799203 225.293 0.813669
28159988 7 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.8602 197.407 0.78795 235.782 0.822462
28159988 8 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.9252 206.611 0.797081 239.885 0.825228
28159988 9 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.8446 199.034 0.789761 251.452 0.833588
28159988 10 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.7149 184.552 0.773967 189.68 0.780078
28159988 11 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.7152 183.216 0.772317 216.869 0.807648
28159988 12 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.6827 179.327 0.767561 202.866 0.794531
28159988 13 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.674 181.055 0.769827 220.99 0.811421
28159988 14 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.6924 181.152 0.769848 216.268 0.807219
28159988 15 swarp-0.dax cori.xml 1 8 48 1227.47 0.117647 2.32143 41.6622 175.501 0.762609 183.475 0.772927
